species,region,cell_type,hemilineage,known_nt,known_nt_source,known_nt_evidence,known_nt_confidence
adult_drosophila_melanogaster,optic_lobes,Dm19,NA,glutamate,"Nern et al., 2024",EASI-FISH,4
adult_drosophila_melanogaster,optic_lobes,Dm3,NA,glutamate,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,optic_lobes,Dm4,NA,glutamate,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,optic_lobes,Dm8,NA,glutamate,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,optic_lobes,Dm9,NA,glutamate,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,midbrain,EL,DM3_CX_d1,octopamine,Sinakevitch and Strausfeld 2006,immuno,5
adult_drosophila_melanogaster,midbrain,EL,DM1_CX_d2,octopamine,Sinakevitch and Strausfeld 2006,immuno,5
adult_drosophila_melanogaster,midbrain,EL,DM3_CX_d2,octopamine,Sinakevitch and Strausfeld 2006,immuno,5
adult_drosophila_melanogaster,midbrain,EL,DM2_CX_d2,octopamine,Sinakevitch and Strausfeld 2006,immuno,5
adult_drosophila_melanogaster,midbrain,EL,DM4_CX_d2,octopamine,Sinakevitch and Strausfeld 2006,immuno,5
adult_drosophila_melanogaster,midbrain,EL,DM2_CX_d1,octopamine,Sinakevitch and Strausfeld 2006,immuno,5
adult_drosophila_melanogaster,midbrain,EL,DM4_CX_d1,octopamine,Sinakevitch and Strausfeld 2006,immuno,5
adult_drosophila_melanogaster,midbrain,EPG,DM2_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,EPG,DM2_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,EPG,DM3_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,EPG,DM1_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,EPG,DM4_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,EPG,DM3_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,EPG,DM4_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,EPG,DM4_CX_d3,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,EPGt,DM4_CX_d3,acetylcholine,Janelia,EASI-FISH,4
